employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
00-97499117,Brian,Baker,Female,Washington D.C.,Washington,9/14/2021,IT,Software Developer,Bachelor,87760,Good,Yes,8/9/1975,3/13/2022
00-82586659,Ryan,Gomez,Female,Washington D.C.,Washington,10/13/2021,Sales,Sales Specialist,Master,70333,Good,No,3/4/1993,9/18/2022
00-55620326,Mary,Dennis,Female,Virginia,Richmond,2/2/2017,Marketing,Content Creator,Bachelor,65382,Good,Yes,3/12/1987,3/6/2021
00-96426125,Justin,Schwartz,Male,Washington D.C.,Washington,2/7/2017,Operations,Logistics Coordinator,Bachelor,64249,Satisfactory,No,5/5/1988,11/29/2021
00-28602870,Carol,Meyer,Male,Washington D.C.,Washington,4/28/2018,Sales,Sales Specialist,PhD,82840,Satisfactory,No,10/17/1991,5/14/2020
00-87358547,Nancy,Buck,Male,Virginia,Alexandria,3/25/2019,Operations,Inventory Specialist,High School,64537,Good,No,5/10/1990,9/21/2019
00-30874025,Christine,Sanchez,Female,Washington D.C.,Washington,3/25/2024,Marketing,Marketing Coordinator,Bachelor,69312,Excellent,No,5/18/1998,9/21/2024
00-38940763,Deanna,Carpenter,Female,Virginia,Tysons,5/25/2022,Operations,Inventory Specialist,High School,62288,Satisfactory,No,12/26/1982,11/21/2022
00-55451443,Sara,Miller,Male,Virginia,Tysons,7/1/2018,Operations,Logistics Coordinator,Bachelor,66243,Excellent,No,11/23/1973,10/1/2022
00-80784593,Denise,Dominguez,Male,Washington D.C.,Washington,4/2/2023,Customer Service,Support Specialist,Bachelor,66534,Good,No,6/18/1996,9/29/2023
00-45319043,Robert,Murphy,Male,Washington D.C.,Washington,2/23/2019,IT,Software Developer,Bachelor,95675,Needs Improvement,No,10/16/1993,8/22/2019
00-80508307,John,Wallace,Male,Washington D.C.,Washington,3/30/2019,IT,Software Developer,Bachelor,96365,Good,No,10/6/1988,9/26/2019
00-83225644,James,Greene,Male,Maryland,Brandywine,7/26/2023,IT,Software Developer,Master,102898,Needs Improvement,No,4/25/1983,1/22/2024
00-46764053,Alex,White,Female,Washington D.C.,Washington,11/17/2019,Operations,Inventory Specialist,High School,62882,Needs Improvement,Yes,2/17/1974,5/15/2020
00-66667050,Bradley,Lin,Female,Washington D.C.,Washington,10/11/2016,Marketing,Marketing Coordinator,Bachelor,76377,Needs Improvement,Yes,12/2/1970,3/28/2021
00-40396521,Elizabeth,Hernandez,Male,Washington D.C.,Washington,6/3/2017,IT,IT Support Specialist,High School,62768,Good,Yes,12/26/2002,11/30/2017
00-41931026,Michael,Fernandez,Male,Washington D.C.,Washington,11/25/2018,Marketing,Content Creator,Bachelor,61163,Good,No,9/5/1992,5/24/2019
00-86282339,Kimberly,Lara,Female,Washington D.C.,Washington,4/21/2019,Sales,Sales Specialist,PhD,83180,Good,No,2/11/1990,12/11/2024
